,data_type,s_rank,num_data_points,count,mean,std,min,25%,50%,75%,max
0,random,1,1,12.0,0.055005184019779434,0.04116486007017862,0.04230604255679814,0.0423060670081146,0.04231009452616276,0.042875213384038144,0.1855451400575498
1,random,1,2,12.0,0.19333402950949805,0.05617452340632759,0.1531292049902409,0.17048835094894646,0.1841020716494593,0.18605908041550362,0.36707261888419535
2,random,1,3,12.0,0.25228390686928054,0.07112535286279573,0.2020660661334947,0.22319586215605108,0.23685979521949074,0.2501078360607202,0.4712426093812999
3,random,1,4,12.0,0.30744733088082393,0.059386524647387015,0.2751507047159437,0.28902627821741433,0.2917499861908218,0.2969973393507713,0.4943078326791325
4,random,2,1,12.0,0.16463085121569096,0.06402311002630126,0.14327358448966804,0.14331950451492703,0.14383536380374884,0.14651432092578245,0.36708477685873414
5,random,2,2,12.0,0.29892536350610316,0.07264132971916319,0.2705439722802975,0.27335035019630116,0.2770573440557581,0.28494499307420185,0.5287233217558923
6,random,2,3,12.0,0.3247933719959324,0.08143554472774547,0.2864418038090456,0.29343805910739457,0.2987140389732703,0.3132539233990071,0.5805669747577078
7,random,2,4,12.0,0.37214623789430573,0.07655602053975245,0.3308566503652285,0.34437449156902133,0.35690733987183937,0.3601639707613305,0.6128284682614317
8,random,3,1,12.0,0.289764972736025,0.09579277973597625,0.2586975536194852,0.258735992271761,0.2589848486125459,0.2659131224502754,0.5933428639729446
9,random,3,2,12.0,0.39493801999515044,0.07264267153277257,0.3686928680271757,0.3720685654432846,0.37496888385285343,0.3764764211637017,0.6253293781397444
10,random,3,3,12.0,0.42512319532919607,0.08677912914549694,0.38322776927160235,0.39602143267214374,0.4054208177078402,0.40768693936919126,0.699034612712959
11,random,3,4,12.0,0.41369857270322213,0.08421963833326224,0.373790313242231,0.38760465449675663,0.3895311013693773,0.3969865329967288,0.6797698728419629
12,random,4,1,12.0,0.356203335278284,0.09307587419278551,0.3267501256892141,0.32728474008028186,0.3273093992789901,0.3299304457371023,0.6513893916408199
13,random,4,2,12.0,0.44330609417963013,0.08222869730428445,0.402296525048787,0.41832779483286475,0.4195450845057871,0.4295460565664888,0.7026524293894385
14,random,4,3,12.0,0.45887199545221136,0.08772514680231835,0.3991989474369574,0.4171635685586991,0.4424999389986807,0.45517762615329455,0.7287706419825788
15,random,4,4,12.0,0.4730039908779397,0.0816039609954871,0.4168345789052738,0.436378826443403,0.45982835219518864,0.47036720722571185,0.7229453468548612
16,orthogonal,1,1,12.0,0.05629098594562101,0.042385562668744096,0.04324985828588114,0.043249858433641944,0.04325299253488567,0.043592300350805045,0.19069698736263443
17,orthogonal,1,2,12.0,0.15528042864667574,0.054860984605585854,0.12252065534100347,0.13713535132347138,0.13884425442878895,0.1500101848572613,0.3268200212173304
18,orthogonal,1,3,12.0,0.24105259560238546,0.07259397505889773,0.18185069567296408,0.2055655646259934,0.23364458761091245,0.2405571526030035,0.45975309380362833
19,orthogonal,1,4,12.0,0.24889454411718417,0.06781877525803527,0.1910014790827502,0.22153411011383284,0.23522810234425565,0.24829745835524344,0.45089503644670703
20,orthogonal,2,1,12.0,0.1746928891399642,0.053365643257275656,0.1566202827654272,0.1566255791742671,0.15676215836898683,0.1616884037566688,0.34323568107269964
21,orthogonal,2,2,12.0,0.284284190880489,0.07636837300499331,0.24234035173938445,0.2568336861950793,0.2621894184761836,0.2744901296075971,0.5235771718760515
22,orthogonal,2,3,12.0,0.32630525835862073,0.08331590275344547,0.2813116727916626,0.3001861445385898,0.30435134442962686,0.3114620625025546,0.5885534970154472
23,orthogonal,2,4,12.0,0.3427565835872624,0.05737938437500957,0.29864414875200845,0.32108788453381026,0.333535526516643,0.33768574067822177,0.5178142566970974
24,orthogonal,3,1,12.0,0.31290900163144464,0.06502331088545077,0.29173668117743634,0.29173804496525635,0.2917986239537728,0.29662922420790894,0.518783578808422
25,orthogonal,3,2,12.0,0.3647676301472725,0.07244819998378398,0.3271912559233757,0.3427388786023642,0.34735450768464743,0.350777878800506,0.5932549960301134
26,orthogonal,3,3,12.0,0.42645584276382476,0.07215684953558456,0.38410305278301743,0.403697957629789,0.4092741191713132,0.41630748683917485,0.6528117670252694
27,orthogonal,3,4,12.0,0.4453208676941523,0.08290911230727546,0.38497647602255547,0.4056884334102906,0.43169949478887115,0.4460306710415816,0.698649828012079
28,orthogonal,4,1,12.0,0.3681970191047605,0.07646544545488265,0.3341141052805564,0.34453392147596507,0.34825545446540823,0.3498093517017361,0.6096747670548119
29,orthogonal,4,2,12.0,0.39355348440873744,0.07664590529309456,0.3596277193953135,0.3673130253665756,0.3722956097835465,0.3803386338110053,0.6356468093629821
30,orthogonal,4,3,12.0,0.4482306624254355,0.09092225483846539,0.39664725098727344,0.41692634035219456,0.426827992019564,0.4324757882595927,0.7326599182801333
31,orthogonal,4,4,12.0,0.4706780207714985,0.08555652319057187,0.4054091645977681,0.42454684781289376,0.4652715771327638,0.47584924125979317,0.7263036989389846
32,non_lin_ind,1,1,12.0,0.049681276369191125,0.027011048422484727,0.04108686136100539,0.0410868618839933,0.04108778229413821,0.041468249795652605,0.1351702008135685
33,non_lin_ind,1,2,12.0,0.06628817181640843,0.04960151244216131,0.051143762720095076,0.05114376280864357,0.05114407295565444,0.05152859624671684,0.22363275535156085
34,non_lin_ind,1,3,12.0,0.041982332442444585,0.022291010974606677,0.034634006005111746,0.03463400735488053,0.034634315657709136,0.03504005984479533,0.11228873717185986
35,non_lin_ind,1,4,12.0,0.05915605620182506,0.04528433389870688,0.0452256609317645,0.04522566257721352,0.04522586477018675,0.04562345026013886,0.2027615526845626
36,non_lin_ind,2,1,12.0,0.17072648820865732,0.062115203488632115,0.14950996305900574,0.14988371770119005,0.1515372830787584,0.1540248835689661,0.3674922509357319
37,non_lin_ind,2,2,12.0,0.19754023086187208,0.0634330974429273,0.17029970019795307,0.1762367820530365,0.18350246491165945,0.18362887276517545,0.3981065199977091
38,non_lin_ind,2,3,12.0,0.17739010414980294,0.06103875270941043,0.1532882615589786,0.15667176803625976,0.15898041776604172,0.16411946447733505,0.3703583141281914
39,non_lin_ind,2,4,12.0,0.1824539740199921,0.07585844387790297,0.15672879326475692,0.1567685699702869,0.1594005567824777,0.16264502707899547,0.42283989965973945
40,non_lin_ind,3,1,12.0,0.28243449975648904,0.07066895817142965,0.25902244696827376,0.25902319193004675,0.25995675133270024,0.26431011479800226,0.5063369508926161
41,non_lin_ind,4,1,12.0,0.3575298093776356,0.07011468432002348,0.3261413926343192,0.3320928187739639,0.3398835979141477,0.3442476922932332,0.5788849466368476
42,non_lin_ind,4,2,12.0,0.3993555378121713,0.10293471754622953,0.361225103794988,0.36465547336195997,0.36845221730862726,0.3752897601777121,0.7253333572468015
43,non_lin_ind,4,3,12.0,0.40491639258397855,0.07001991451431286,0.3753721984428914,0.3824790223471525,0.3854843867686859,0.3914059439165562,0.6264414590693045
44,non_lin_ind,4,4,12.0,0.44952192131325436,0.0944052426974367,0.4006834901632099,0.4115612551891525,0.42032105803471925,0.4417496403883665,0.7448395398689887
45,var_s_rank,1,1,12.0,0.04955723784387403,0.03525809014887805,0.03857262236256801,0.03857262787881334,0.03857471065139009,0.039009146993185424,0.16131011286323688
46,var_s_rank,1,2,12.0,0.19731149991437288,0.05156264991372654,0.1700325659319803,0.17533118732024264,0.18387090949410023,0.1921361683089333,0.3585870540844047
47,var_s_rank,1,3,12.0,0.26819654425062395,0.047662362099265096,0.2352747671382978,0.25019610423286215,0.2589292177373989,0.26378691323097725,0.41569749787864596
48,var_s_rank,1,4,12.0,0.2879674531039999,0.05658463360591326,0.25591153406262596,0.26533583763660085,0.2736031900396657,0.279116267011692,0.46454761881169127
49,var_s_rank,2,1,12.0,0.1647833907989151,0.06058952130440914,0.14468715821062358,0.14552515508779942,0.1460809854785145,0.14775329066505896,0.35678277998968766
50,var_s_rank,2,2,12.0,0.29543976268398636,0.07199577772862026,0.2384846489392781,0.2597062358180549,0.28710053163877747,0.29508914499971206,0.5118900528691019
51,var_s_rank,2,3,12.0,0.3465270474241793,0.05371847768619434,0.3228278649238064,0.32842900300524747,0.3327592246618979,0.3349640741231205,0.5161012928561844
52,var_s_rank,2,4,12.0,0.35516731874302193,0.07245436628708951,0.3150369172143253,0.3279817722522267,0.33842448232314076,0.3453536768720791,0.5820479324265807
53,var_s_rank,3,1,12.0,0.2925641146765122,0.07880914553576382,0.265842737376271,0.267349484220293,0.2691597658847469,0.27181840225196685,0.5424430181292285
54,var_s_rank,3,2,12.0,0.3764331194091281,0.07865698936556657,0.34307503439504056,0.35353111894744976,0.3541745801083801,0.3583203356211785,0.6255421775594954
55,var_s_rank,3,3,12.0,0.4157676991142833,0.09674252897790857,0.3689539409024279,0.3817778324170929,0.3909685212837426,0.40067993131929214,0.7207780491680216
56,var_s_rank,3,4,12.0,0.43212210768339854,0.08697803982016207,0.38620726101976577,0.3993594637470557,0.4051377731338708,0.4244123177384759,0.7043960414625664
57,var_s_rank,4,1,12.0,0.38697502572282216,0.07108319631780985,0.34283209930658076,0.3572532086101162,0.3733162945357179,0.383150791484924,0.6072638177326255
58,var_s_rank,4,2,12.0,0.4302904340978626,0.09120595955964873,0.39866085684650526,0.40066930076846585,0.4009436547568419,0.40737703254948326,0.7191286561603084
59,var_s_rank,4,3,12.0,0.44986269081515545,0.08908988611485666,0.40571602999252454,0.4220036028489244,0.42542851680643623,0.43409708353170884,0.7307989448813352
60,var_s_rank,4,4,12.0,0.4623308456243022,0.0923967959753516,0.4112166121626128,0.42914810789651137,0.4342225685628578,0.4484955275896602,0.7507004400578119
